[Mon May 18 13:22:00.225124 2015] [:error] [pid 5160:tid 1016] [client ::1:61862] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:22:07.992124 2015] [:error] [pid 5160:tid 1016] [client ::1:61863] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:22:09.616124 2015] [:error] [pid 5160:tid 1016] [client ::1:61864] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:22:12.179124 2015] [:error] [pid 5160:tid 1016] [client ::1:61889] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:22:13.684124 2015] [:error] [pid 5160:tid 1016] [client ::1:61892] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:22:14.510124 2015] [:error] [pid 5160:tid 1016] [client ::1:61895] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:22:27.426124 2015] [:error] [pid 5160:tid 1016] [client ::1:61922] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:23:01.377124 2015] [:error] [pid 5160:tid 1016] [client ::1:61991] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:23:02.282124 2015] [:error] [pid 5160:tid 1016] [client ::1:61994] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:23:02.496124 2015] [:error] [pid 5160:tid 1016] [client ::1:61995] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:23:02.706124 2015] [:error] [pid 5160:tid 1016] [client ::1:61996] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:23:29.096124 2015] [:error] [pid 5160:tid 1016] [client ::1:62052] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:23:29.824124 2015] [:error] [pid 5160:tid 1016] [client ::1:62053] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:23:30.137124 2015] [:error] [pid 5160:tid 1016] [client ::1:62056] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:23:30.358124 2015] [:error] [pid 5160:tid 1016] [client ::1:62057] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:23:30.570124 2015] [:error] [pid 5160:tid 1016] [client ::1:62058] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:23:30.811124 2015] [:error] [pid 5160:tid 1016] [client ::1:62059] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:23:42.204124 2015] [:error] [pid 5160:tid 1016] [client ::1:62084] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:23:42.903124 2015] [:error] [pid 5160:tid 1016] [client ::1:62085] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:23:43.369124 2015] [:error] [pid 5160:tid 1016] [client ::1:62088] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:23:43.667124 2015] [:error] [pid 5160:tid 1016] [client ::1:62089] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:23:47.544124 2015] [:error] [pid 5160:tid 1016] [client ::1:62098] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:25:56.423124 2015] [:error] [pid 5160:tid 1016] [client ::1:62358] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:25:57.084124 2015] [:error] [pid 5160:tid 1016] [client ::1:62361] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:25:57.350124 2015] [:error] [pid 5160:tid 1016] [client ::1:62362] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:25:57.585124 2015] [:error] [pid 5160:tid 1016] [client ::1:62365] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:25:57.808124 2015] [:error] [pid 5160:tid 1016] [client ::1:62366] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:25:58.021124 2015] [:error] [pid 5160:tid 1016] [client ::1:62367] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:25:58.277124 2015] [:error] [pid 5160:tid 1016] [client ::1:62368] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
[Mon May 18 13:26:55.160124 2015] [:error] [pid 5160:tid 1016] [client ::1:62483] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\UsersController.php on line 10
